,content,id,lat,location,lon,time,user,user_id
0,#blockchain: secret weapon in the fight against climate change https://t.co/925YDCMU9J #Crypto #CryptoCurrencies… https://t.co/4BsmWS8R2G,970776011708289024,,"Boston, MA",,2018-03-05 21:40:11,evankirstel,35203319
1,RT @CLF: Let's make 2018 the year that denying climate change is a disqualifier for public office: https://t.co/lar8ix0XHI #ActOnClimate ht…,970775507150299136,,"Somerville, MA",,2018-03-05 21:38:11,DeniseProvost1,440959743
2,"RT @JSchuurMD: 3/ first, advocate for government policy to address climate change; most important is #carbontax and no new #fossilfuel deve…",970775391458775040,,#LeadTheWorldDon'tRuleIt😉,,2018-03-05 21:37:44,sevier_james,958266854828576768
3,"@KillerMartinis Vegan diets will slow climate change, more efficiently feed hungry populations, protect migrant wor… https://t.co/0PQ2h1cqrq",970774232228614146,,"Medford, MA",,2018-03-05 21:33:07,chapter6t,757255259731484673
4,RT @BSAAIA: How Architecture Is Tackling Increasing Floods From Climate Change via @forbes https://t.co/221xkc5qeb,970773704329388032,,"Boston, MA",,2018-03-05 21:31:01,payettepeople,235204765
5,MA is #1! Economic climate: The best (and worst) states for business https://t.co/dxSJVbxDSB via @USATODAY,970772518331125762,,"Boston, MA",,2018-03-05 21:26:19,jlpham,48831366
6,Bangladeshi women to receive funding for protection from climate change. https://t.co/w86CjF3qtS,970769144437137408,,Boston,,2018-03-05 21:12:54,vbollettino,17692311
7,@BBCWorld Nope. it just died of the disappointment that climate change deniers exist in this day and age.,970768671676293122,,"Boston , MA",,2018-03-05 21:11:01,Zicus,57554917
8,RT @MCNisbet: NOW IN PRINT -- 3 volumes containing 115 peer-reviewed articles by more than 250 co-authors representing 20+ countries and a…,970767538517938176,,United Kingdom,,2018-03-05 21:06:31,dbatanasova,1345259556
9,"RT @ClimateX_MIT: ""Tackling the climate challenge in a meaningful way requires profound reduction in emissions from all sectors. The most i…",970767349384085505,,"MIT - Cambridge, MA",,2018-03-05 21:05:46,MITEnergyConf,58897224
